,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,new_addition,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url
0,aries,hyperledger/aries,aries,True,decentralized,https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:20,2023-04-14 12:29:59.000000,2023-04-14 12:25:47,24368.0,1082.0,255.0,6137.0,1493,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",504.0,34,True,525.0,856.0,2720.0,195.0,2023-04-14 09:52:15,326.0,548.0,1,True,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-04-14 12:12:11.000000,2023-04-13 18:01:35,1485.0,27.0,11.0,1576.0,48,Trinsic SDK repository.,41.0,27,False,93.0,4.0,368.0,32.0,2023-03-03 19:22:08,411.0,1707.0,1,True,1.10.0,7300.0,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-04-14 13:38:10.000000,2023-04-14 10:18:08,3119.0,29.0,22.0,335.0,122,Self Sovereign Identity SDK extending Veramo.,46.0,24,True,752.0,15.0,23.0,54.0,2023-03-17 00:39:19,82.0,4.0,1,,0.9.0,,5.0,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-04-13 16:13:06.000000,2023-04-13 12:29:04,2630.0,58.0,12.0,306.0,119,Use web3 identity / self-sovereign identity (SSI).,55.0,23,True,570.0,20.0,251.0,82.0,2023-04-13 12:38:53,,466.0,2,,1.2304101159.0,30.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-04-10 12:07:54.817075,4915.0,,,,,,,,,,,,,
4,talao-altme,talaodao/altme,talao-altme,True,decentralized,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-04-14 09:28:14.000000,2023-04-14 09:28:00,6798.0,10.0,7.0,469.0,24,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,19,False,974.0,89.0,1328.0,1.0,2023-01-06 16:00:40,,,2,True,,,,,,,,,,,,,,,,,,,,
5,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,89,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,3.0,,100.0,2021-03-22 11:09:10,38.0,10.0,2,,,,,,,,,,,,,,,,,,,,,
6,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,https://github.com/0xPolygonID/sh-id-platform,https://github.com/0xPolygonID/sh-id-platform,,2022-11-08 12:11:09,2023-04-14 14:01:18.000000,2023-04-14 13:57:44,621.0,17.0,13.0,291.0,51,Self Hosted ID Platform.,15.0,15,False,387.0,5.0,73.0,6.0,2023-04-07 12:33:13,4.0,,3,True,1.0.0,,,,,,,,,,,,,,,,,,,
7,spruceid,spruceid/ddkit,spruceid,True,decentralized,,{},,2020-07-23 21:18:28,2023-04-14 14:01:42.000000,2023-04-14 14:01:41,710.0,50.0,45.0,403.0,171,,30.0,14,False,5.0,78.0,124.0,,,98.0,,3,True,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,
8,coredns,coredns/coredns,,,discovery,https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-04-13 12:19:36.000000,2023-04-13 12:19:36,3600.0,1784.0,236.0,3815.0,10647,CoreDNS is a DNS server that chains plugins.,347.0,41,True,79.0,62.0,2032.0,65.0,2023-02-06 18:30:04,5046.0,2793720.0,1,,1.10.1,6664663.0,5046.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,230295458.0,"['linux-foundation', 'cncf']",137.0,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-04-14 11:50:19.000000,2023-04-12 10:40:55,2214.0,1879.0,89.0,1741.0,15835,Authentication for the Web.,516.0,40,True,164.0,112.0,2773.0,100.0,2023-04-03 10:18:04,71793.0,1701054.0,1,,next-auth@4.21.1,,71793.0,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,1701054.0,,,,,,,,
10,oauthlib,oauthlib/oauthlib,,,oauth2-oidc,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-04-14 08:21:48.000000,2023-01-10 13:20:21,1645.0,451.0,69.0,480.0,2571,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",191.0,40,True,,73.0,289.0,48.0,2023-01-10 13:13:43,351897.0,81342643.0,1,,3.2.2,,351897.0,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,81342643.0,,,,,
11,cert-manager,cert-manager/cert-manager,,,pki,https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-04-14 03:15:05.000000,2023-04-13 18:32:41,7622.0,1795.0,141.0,2811.0,10196,Automatically provision and manage TLS certificates in Kubernetes.,387.0,39,True,195.0,170.0,2781.0,100.0,2023-04-07 13:54:32,435.0,1212631.0,1,,1.11.1,43654735.0,435.0,,,,,['linux-foundation'],,,,,,,,,,,,
12,open-policy-agent,open-policy-agent/opa,,,authorization,https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-04-14 07:12:32.000000,2023-04-13 17:51:07,4542.0,1086.0,117.0,3599.0,7939,"An open source, general-purpose policy engine.",376.0,37,True,146.0,286.0,1924.0,100.0,2023-03-31 14:09:24,2338.0,2878719.0,1,,0.51.0,2819866.0,2338.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-04-13 18:40:19.104741,248461712.0,"['cncf', 'linux-foundation']",30.0,,,,,,,,,,,
13,cancancan,keycloak/keycloak,,,idp,https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-04-14 13:59:39.000000,2023-04-14 12:42:12,21689.0,5131.0,354.0,11192.0,15662,Open Source Identity and Access Management For Modern Applications and Services.,1156.0,36,True,753.0,1587.0,4286.0,34.0,2023-03-30 11:12:04,,59516.0,1,,21.0.2,1666464.0,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,['cncf'],,,,,,,,,,,,
14,ory-hydra,ory/hydra,,,oauth2-oidc,https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-04-14 11:38:20.000000,2023-04-11 10:53:30,3586.0,1275.0,230.0,1641.0,13999,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",277.0,36,True,60.0,54.0,1369.0,100.0,2023-04-11 10:52:32,2.0,3991604.0,2,,2.1.1,534104.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-04-11 10:52:32.445066,378397149.0,['ory'],72.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,
