,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,new_addition
0,aries,hyperledger/aries,aries,True,decentralized,https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:20,2023-04-20 18:11:41.000000,2023-04-20 18:11:40,24383.0,1090.0,252.0,6158.0,1496,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",504.0,34,True,513.0,858.0,2721.0,195.0,2023-04-14 09:52:15,329.0,550.0,1,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-04-20 17:52:50.000000,2023-04-20 12:48:52,1494.0,27.0,11.0,1584.0,48,Trinsic SDK repository.,41.0,27,False,100.0,5.0,368.0,32.0,2023-03-03 19:22:08,413.0,1722.0,1,1.10.0,7383.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-04-20 15:23:33.000000,2023-04-20 14:55:47,3174.0,29.0,22.0,349.0,126,Self Sovereign Identity SDK extending Veramo.,46.0,24,True,777.0,15.0,23.0,54.0,2023-03-17 00:39:19,90.0,4.0,1,0.9.0,,5.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-04-20 12:50:08.000000,2023-04-20 11:20:31,2646.0,58.0,12.0,314.0,123,Use web3 identity / self-sovereign identity (SSI).,55.0,23,True,533.0,20.0,252.0,88.0,2023-04-20 11:29:53,,474.0,2,1.2304201121.0,30.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-04-20 11:29:51.913729,4942.0,,,,,,,,,,,,,,,
4,talao-altme,talaodao/altme,talao-altme,True,decentralized,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-04-20 14:56:08.000000,2023-04-20 14:56:04,6844.0,10.0,7.0,472.0,26,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,19,False,913.0,85.0,1352.0,1.0,2023-01-06 16:00:40,,,2,,,,,,,,,,,,,,,,,,,,,,
5,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,90,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,3.0,,100.0,2021-03-22 11:09:10,38.0,10.0,2,,,,,,,,,,,,,,,,,,,,,,
6,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,https://github.com/0xPolygonID/sh-id-platform,https://github.com/0xPolygonID/sh-id-platform,,2022-11-08 12:11:09,2023-04-20 12:27:00.000000,2023-04-14 14:14:32,630.0,19.0,13.0,312.0,52,Self Hosted ID Platform.,18.0,15,False,342.0,5.0,73.0,6.0,2023-04-07 12:33:13,5.0,,3,1.0.0,,,,,,,,,,,,,,,,,,,,,
7,spruceid,spruceid/ddkit,spruceid,True,decentralized,,{},,2020-07-23 21:18:28,2023-04-20 17:48:32.000000,2023-04-14 14:01:41,710.0,51.0,45.0,405.0,172,,30.0,14,False,4.0,78.0,124.0,,,98.0,,3,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
8,coredns,coredns/coredns,,,discovery,https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-04-20 18:00:27.000000,2023-04-20 17:24:06,3610.0,1786.0,236.0,3821.0,10679,CoreDNS is a DNS server that chains plugins.,347.0,41,True,83.0,63.0,2034.0,65.0,2023-02-06 18:30:04,5062.0,2802220.0,1,1.10.1,6668140.0,5062.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,231014253.0,"['linux-foundation', 'cncf']",137.0,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-04-20 09:51:48.000000,2023-04-20 09:38:01,2237.0,1894.0,91.0,1756.0,15968,Authentication for the Web.,520.0,40,True,180.0,111.0,2804.0,100.0,2023-04-20 08:41:48,73776.0,1751800.0,1,@next-auth/mongodb-adapter@1.1.3,,73776.0,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,1751800.0,,,,,,,,,,
