,name,github_id,group_id,group,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,open_issue_count,closed_issue_count,release_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,labels,new_addition,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,trending
0,aries,hyperledger/aries,aries,True,decentralized,https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:20,2023-04-22 22:02:49.000000,2023-04-22 22:02:49,24388.0,1093.0,251.0,6165.0,1497.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",504.0,34,True,512.0,860.0,2723.0,195.0,2023-04-14 09:52:15,330.0,550.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-04-20 21:21:57.000000,2023-04-20 20:53:58,1496.0,27.0,11.0,1584.0,48.0,Trinsic SDK repository.,41.0,27,False,102.0,5.0,368.0,32.0,2023-03-03 19:22:08,414.0,1722.0,1.0,1.10.0,7397.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-04-21 18:42:59.000000,2023-04-21 18:42:53,3188.0,29.0,22.0,351.0,126.0,Self Sovereign Identity SDK extending Veramo.,46.0,24,True,771.0,15.0,23.0,54.0,2023-03-17 00:39:19,90.0,4.0,2.0,0.9.0,,5.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-04-21 16:14:18.781427,2023-04-21 16:05:33,2648.0,58.0,12.0,316.0,124.0,Use web3 identity / self-sovereign identity (SSI).,55.0,23,True,514.0,21.0,252.0,89.0,2023-04-21 16:14:20,,474.0,2.0,1.2304211606.0,30.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-04-21 16:14:18.781427,4949.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-04-20 15:15:16.000000,2023-04-20 15:15:14,1003.0,407.0,625.0,207.0,8579.0,Solid - Re-decentralizing the web (project directory).,41.0,22,True,49.0,311.0,206.0,1.0,2021-12-21 13:00:06,,,1.0,,,,,,,,['solid'],True,,,,,,,,,,,,,
5,talao-altme,talaodao/altme,talao-altme,True,decentralized,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-04-21 16:22:03.000000,2023-04-21 16:21:58,6846.0,10.0,7.0,473.0,26.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,19,False,893.0,90.0,1352.0,1.0,2023-01-06 16:00:40,,,2.0,,,,,,,,,,,,,,,,,,,,,,
6,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,90.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,3.0,,100.0,2021-03-22 11:09:10,38.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
7,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,https://github.com/0xPolygonID/sh-id-platform,https://github.com/0xPolygonID/sh-id-platform,,2022-11-08 12:11:09,2023-04-22 10:27:42.000000,2023-04-21 07:28:50,631.0,19.0,13.0,318.0,52.0,Self Hosted ID Platform.,18.0,15,False,330.0,5.0,73.0,6.0,2023-04-07 12:33:13,5.0,,3.0,1.0.0,,,,,,,,,,,,,,,,,,,,,
8,spruceid,spruceid/ddkit,spruceid,True,decentralized,,{},,2020-07-23 21:18:28,2023-04-23 00:19:16.000000,2023-04-22 12:48:36,712.0,51.0,45.0,407.0,172.0,,31.0,14,False,6.0,78.0,124.0,,,98.0,,3.0,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
9,coredns,coredns/coredns,,,machine,https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-04-23 16:20:51.000000,2023-04-22 20:32:01,3612.0,1787.0,236.0,3822.0,10710.0,CoreDNS is a DNS server that chains plugins.,349.0,41,True,77.0,63.0,2035.0,65.0,2023-02-06 18:30:04,5071.0,2806325.0,1.0,1.10.1,6669336.0,5071.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,231361891.0,"['linux-foundation', 'cncf']",,137.0,,,,,,,,,,,,
