,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,trending
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-04-24 17:26:42.000000,2023-04-24 17:26:42,22288.0,894.0,192.0,5603.0,1204.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",420.0,34,True,490.0,195.0,811.0,2555.0,2023-04-14 09:52:15,331.0,550.0,1.0,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-04-24 15:12:01.000000,2023-04-24 15:10:08,1497.0,27.0,11.0,1585.0,48.0,Trinsic SDK repository.,41.0,27,False,103.0,33.0,5.0,369.0,2023-04-24 13:26:38,415.0,1726.0,1.0,1.11.0,7429.0,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-04-24 17:55:14.000000,2023-04-24 17:55:13,3212.0,29.0,22.0,354.0,126.0,Self Sovereign Identity SDK extending Veramo.,47.0,24,True,781.0,54.0,17.0,23.0,2023-03-17 00:39:19,90.0,4.0,2.0,0.9.0,,5.0,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-04-24 18:00:22.000000,2023-04-24 07:20:43,2650.0,58.0,12.0,316.0,124.0,Use web3 identity / self-sovereign identity (SSI).,55.0,23,True,515.0,89.0,20.0,253.0,2023-04-21 16:14:20,,474.0,2.0,1.2304211606.0,30.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-04-21 16:14:18.781427,4949.0,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-04-20 15:15:16.000000,2023-04-20 15:15:14,1003.0,407.0,625.0,207.0,8579.0,Solid - Re-decentralizing the web (project directory).,41.0,22,True,49.0,1.0,311.0,206.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,
5,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,90.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,100.0,3.0,,2021-03-22 11:09:10,38.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,
6,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-04-24 17:54:50.000000,2023-04-24 13:00:49,6851.0,10.0,7.0,475.0,26.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,854.0,1.0,91.0,1352.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,
7,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/sh-id-platform,https://github.com/0xPolygonID/sh-id-platform,,2022-11-08 12:11:09,2023-04-24 17:59:37.000000,2023-04-21 07:28:50,631.0,19.0,13.0,326.0,52.0,Self Hosted ID Platform.,18.0,15,False,319.0,6.0,5.0,73.0,2023-04-07 12:33:13,5.0,,3.0,1.0.0,,,,,,,,,,,,,,,,,,,
8,spruceid,spruceid/ddkit,spruceid,True,decentralized,,,{},,2020-07-23 21:18:28,2023-04-24 14:20:13.000000,2023-04-24 13:49:11,714.0,51.0,45.0,407.0,173.0,,31.0,14,False,8.0,,78.0,124.0,,98.0,,3.0,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,
9,keycloak,keycloak/keycloak,,,idp,['cncf'],https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-04-24 16:15:48.000000,2023-04-24 15:33:15,21749.0,5173.0,357.0,11275.0,15790.0,Open Source Identity and Access Management For Modern Applications and Services.,1156.0,41,True,742.0,35.0,1601.0,4347.0,2023-04-19 08:10:05,265.0,60367.0,1.0,21.1.0,1690296.0,265.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,
10,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-04-24 14:02:23.000000,2023-04-22 20:32:01,3612.0,1786.0,235.0,3830.0,10714.0,CoreDNS is a DNS server that chains plugins.,349.0,41,True,77.0,65.0,63.0,2035.0,2023-02-06 18:30:04,5074.0,2807712.0,1.0,1.10.1,6670026.0,5074.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,231478971.0,137.0,,,,,,,,,,,,
11,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-04-24 09:05:35.000000,2023-04-24 08:21:24,2241.0,1904.0,90.0,1759.0,16033.0,Authentication for the Web.,521.0,40,True,165.0,100.0,113.0,2815.0,2023-04-20 08:41:48,74980.0,1744157.0,1.0,@next-auth/mongodb-adapter@1.1.3,,74980.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,1744157.0,,,,,,,,,
12,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-04-14 08:21:48.000000,2023-01-10 13:20:21,1645.0,454.0,69.0,480.0,2575.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",191.0,40,True,,48.0,73.0,289.0,2023-01-10 13:13:43,356761.0,78858241.0,1.0,3.2.2,,356761.0,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,78858241.0,,,,,,
13,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-04-24 17:56:34.000000,2023-04-24 15:30:14,7654.0,1798.0,144.0,2828.0,10238.0,Automatically provision and manage TLS certificates in Kubernetes.,389.0,39,True,203.0,100.0,174.0,2790.0,2023-04-07 13:54:32,444.0,1240774.0,1.0,1.11.1,44667883.0,444.0,,,,,,,,,,,,,,,,,
14,vault,hashicorp/vault,,,pki,['hashicorp'],https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,MPL-2.0,2015-02-25 00:15:59,2023-04-24 18:07:09.000000,2023-04-24 18:00:44,17173.0,3627.0,816.0,14778.0,27578.0,"A tool for secrets management, encryption as a service, and privileged access management.",1331.0,38,True,627.0,87.0,866.0,4583.0,2023-03-29 22:06:08,6167.0,,2.0,1.13.1,,6167.0,,,,,,,,,,,,,,,,,
15,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-04-24 16:06:38.000000,2023-04-24 10:52:24,4552.0,1092.0,118.0,3611.0,7969.0,"An open source, general-purpose policy engine.",379.0,37,True,149.0,100.0,291.0,1934.0,2023-03-31 14:09:24,2356.0,3093922.0,1.0,0.51.0,2877889.0,2356.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-04-24 11:39:44.562892,267299401.0,30.0,,,,,,,,,,,,
16,ory-hydra,ory/hydra,,,authentication,['ory'],https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-04-21 16:12:24.000000,2023-04-18 11:21:17,3592.0,1276.0,231.0,1647.0,14039.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",279.0,36,True,66.0,100.0,56.0,1369.0,2023-04-11 10:52:32,2.0,4058216.0,2.0,2.1.1,539879.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-04-11 10:52:32.445066,384716479.0,72.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
17,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-04-24 17:57:22.000000,2023-04-21 16:24:01,3755.0,728.0,111.0,1554.0,8570.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, MFA, FIDO2, TOTP, WebAuthn,..",192.0,36,True,141.0,42.0,227.0,855.0,2023-04-18 17:07:18,314.0,1733647.0,1.0,0.13.0,28287.0,314.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-04-18 17:07:17.440071,102242415.0,16.0,,,,,,,https://k8s.ory.sh/helm/charts,,,,,
18,casbin,casbin/casbin,,,authorization,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-04-15 13:22:26.000000,2023-04-15 13:21:02,1053.0,1468.0,228.0,446.0,14332.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang.",129.0,35,True,16.0,100.0,16.0,698.0,2023-04-15 13:22:27,2363.0,206154.0,2.0,2.68.0,,2363.0,,,,,,casbin,https://www.npmjs.com/package/casbin,144915.0,casbin,https://pypi.org/project/casbin,61239.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
19,casl,stalniy/casl,,,authorization,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-04-12 15:46:02.000000,2023-04-12 08:45:37,1442.0,242.0,40.0,306.0,4799.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,64.0,35,True,10.0,100.0,9.0,403.0,2023-04-02 13:30:48,41259.0,1613536.0,2.0,@casl/ability@6.4.0,,41259.0,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1613536.0,,,,,,,,,
20,pomerium,pomerium/pomerium,,,machine,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-04-24 17:04:47.000000,2023-04-21 23:25:11,2822.0,271.0,35.0,3233.0,3518.0,Pomerium is an identity and context-aware access proxy.,88.0,33,True,136.0,100.0,67.0,783.0,2023-03-23 15:57:03,12.0,3487284.0,2.0,0.21.3,41494.0,12.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-04-22 00:28:07.209815,177808360.0,10.0,,,,,,,,,,,,
21,ockam,build-trust/ockam,,,machine,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-04-24 17:55:08.000000,2023-04-24 10:51:23,5374.0,333.0,58.0,3529.0,3075.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",177.0,32,True,736.0,100.0,190.0,917.0,2023-04-14 21:09:02,175.0,10806.0,2.0,ockam_v0.84.0,183711.0,175.0,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
22,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-04-24 17:14:52.000000,2023-04-21 18:48:01,5929.0,364.0,83.0,2900.0,1393.0,The SPIFFE Runtime Environment.,153.0,32,True,199.0,79.0,188.0,1014.0,2023-04-13 20:22:53,108.0,1838.0,2.0,1.6.3,121368.0,108.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,
23,cas,apereo/cas,,,idp,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-04-24 12:16:34.307226,2023-04-24 02:47:37,22985.0,3771.0,608.0,4302.0,10209.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,335.0,31,True,429.0,100.0,,,2023-03-31 06:34:19,,5794.0,2.0,6.6.7,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-04-24 12:16:34.307226,805466.0,121.0,,,,,,,,,,,,
24,boundary,hashicorp/boundary,,,machine,['hashicorp'],https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,MPL-2.0,2020-01-08 18:24:07,2023-04-24 16:56:01.000000,2023-04-24 15:28:36,2877.0,226.0,75.0,2889.0,3603.0,Boundary enables identity-based access management for dynamic infrastructure.,128.0,31,True,225.0,43.0,72.0,213.0,2023-04-07 19:27:59,8.0,157260.0,3.0,0.12.2,,8.0,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-04-07 19:36:45.208207,6133146.0,10.0,,,,,,,,,,,,
25,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-04-21 21:49:27.000000,2023-04-21 13:57:30,2667.0,174.0,34.0,948.0,3403.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",27.0,31,True,256.0,27.0,100.0,224.0,2023-04-19 16:39:52,22.0,10074.0,2.0,1.20.0,12194.0,22.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-04-19 16:30:08.515160,188670.0,4.0,,,,,,,,,,,,
26,node-oidc-provider,panva/node-oidc-provider,,,authentication,,https://github.com/panva/node-oidc-provider,https://github.com/panva/node-oidc-provider,MIT,2015-12-02 09:17:41,2023-04-24 12:35:04.000000,2023-04-24 12:26:26,2381.0,700.0,69.0,214.0,2637.0,OpenID Certified OAuth 2.0 Authorization Server implementation for Node.js.,61.0,31,True,34.0,100.0,,,2023-04-24 12:35:07,942.0,109913.0,3.0,8.2.0,,942.0,,,,,,oidc-provider,https://www.npmjs.com/package/oidc-provider,109913.0,,,,,,,,,
27,doorkeeper,doorkeeper-gem/doorkeeper,,,authentication,,https://github.com/doorkeeper-gem/doorkeeper,https://github.com/doorkeeper-gem/doorkeeper,MIT,2011-11-18 13:02:01,2023-04-18 07:54:13.000000,2023-04-18 07:54:13,2354.0,995.0,108.0,807.0,5132.0,Doorkeeper is an OAuth 2 provider for Ruby on Rails / Grape.,307.0,30,True,37.0,62.0,19.0,825.0,2023-03-29 07:20:04,7649.0,,3.0,5.6.6,,7649.0,,,,,,,,,,,,,,,,doorkeeper,
28,authelia,authelia/authelia,,,idp,,https://github.com/authelia/authelia,https://github.com/authelia/authelia,Apache-2.0,2016-12-07 00:56:57,2023-04-24 15:15:59.000000,2023-04-24 15:14:32,4192.0,896.0,156.0,3991.0,16176.0,The Single Sign-On Multi-Factor portal for web apps.,125.0,29,True,367.0,100.0,72.0,1024.0,2022-12-21 09:01:04,2.0,560.0,2.0,4.37.5,21852.0,2.0,,,,,,,,,,,,,,,,,
29,oathkeeper,ory/oathkeeper,,,machine,['ory'],https://github.com/ory/oathkeeper,https://github.com/ory/oathkeeper,Apache-2.0,2017-09-25 11:04:45,2023-04-24 16:58:31.000000,2023-04-17 08:27:23,1303.0,304.0,49.0,694.0,2946.0,"A cloud native Identity & Access Proxy / API (IAP) and Access Control Decision API that authenticates, authorizes, and..",105.0,29,True,34.0,100.0,49.0,262.0,2023-03-15 16:29:58,2.0,1106574.0,3.0,0.40.2,22145.0,2.0,oryd/oathkeeper,https://hub.docker.com/r/oryd/oathkeeper,2023-03-15 16:29:58.302274,74118041.0,22.0,,,,,,,,,,,,
