,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_dependent_project_count,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,dockerhub_stars,npm_id,maven_id,npm_url,npm_monthly_downloads,maven_url,trending,brew_id,gem_url,github_Id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-04-27 17:10:56.000000,2023-04-27 13:48:32,22329.0,899.0,192.0,5622.0,1208.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",424.0,30,True,506.0,196.0,813.0,2562.0,2023-04-27 05:57:51,2.0,566.0,1.0,,,,,,,,,,,,,,,,,,,,,
1,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-04-27 09:57:51.000000,2023-04-26 21:12:24,3294.0,29.0,22.0,366.0,130.0,Self Sovereign Identity SDK extending Veramo.,47.0,24,True,846.0,54.0,13.0,27.0,2023-03-17 00:39:19,48.0,4.0,1.0,0.9.0,5.0,,,,,,,,,,,,,,,,,,,
2,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-04-27 12:37:35.462593,2023-04-27 08:19:22,2697.0,59.0,12.0,321.0,126.0,Use web3 identity / self-sovereign identity (SSI).,55.0,23,True,534.0,93.0,23.0,253.0,2023-04-27 08:25:22,,478.0,2.0,1.2304211606.0,,waltid/ssikit,33.0,https://hub.docker.com/r/waltid/ssikit,2023-04-21 16:14:18.781427,4954.0,,,,,,,,,,,,,,
3,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-04-27 15:43:50.000000,2023-04-26 17:48:34,1499.0,27.0,11.0,1587.0,48.0,Trinsic SDK repository.,41.0,23,False,96.0,33.0,4.0,370.0,2023-04-24 13:26:38,,1731.0,2.0,1.11.0,,,7438.0,,,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-04-20 15:15:16.000000,2023-04-20 15:15:14,1003.0,406.0,625.0,207.0,8577.0,Solid - Re-decentralizing the web (project directory).,41.0,22,True,46.0,1.0,312.0,206.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,
5,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-04-27 18:12:20.000000,2023-04-27 14:12:25,6866.0,10.0,7.0,475.0,26.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,797.0,1.0,85.0,1365.0,2023-01-06 16:00:40,,,2.0,,,,,,,,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-04-27 11:25:34.000000,2023-04-24 17:11:29,1005.0,107.0,75.0,632.0,382.0,A cross-platform toolkit for decentralized identity.,50.0,17,True,18.0,,122.0,193.0,,,,3.0,,,ghcr.io/spruceid/didkit-http,,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,90.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,16,False,15.0,100.0,3.0,,2021-03-22 11:09:10,,10.0,3.0,,,,,,,,,,,,,,,,,,,,,
8,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/sh-id-platform,https://github.com/0xPolygonID/sh-id-platform,,2022-11-08 12:11:09,2023-04-27 17:18:16.000000,2023-04-26 11:08:01,635.0,23.0,13.0,341.0,55.0,Self Hosted Issuer Node.,17.0,15,False,307.0,8.0,6.0,73.0,2023-04-27 16:18:26,,,3.0,1.0.1,,,,,,,,,,,,,,,,,,,,
9,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-04-14 08:21:48.000000,2023-01-10 13:20:21,1645.0,455.0,69.0,480.0,2576.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",191.0,40,True,,48.0,73.0,289.0,2023-01-10 13:13:43,358476.0,81019397.0,1.0,3.2.2,358476.0,,,,,,oauthlib,https://pypi.org/project/oauthlib,81019397.0,,,,,,,,,,,
10,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-04-27 18:02:44.000000,2023-04-27 15:46:54,7674.0,1799.0,144.0,2838.0,10253.0,Automatically provision and manage TLS certificates in Kubernetes.,389.0,39,True,217.0,100.0,179.0,2791.0,2023-04-07 13:54:32,446.0,1249524.0,1.0,1.11.1,446.0,,44982868.0,,,,,,,,,,,,,,,,,
