,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-05-04 19:22:29.000000,2023-05-03 20:03:38,22349.0,907.0,192.0,5654.0,1216.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",428.0,34,True,490.0,197.0,819.0,2565.0,2023-05-04 09:37:21,332.0,552.0,1.0,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-05-04 13:18:00.000000,2023-05-03 12:01:19,1501.0,27.0,11.0,1590.0,48.0,Trinsic SDK repository.,41.0,27,False,83.0,33.0,4.0,370.0,2023-04-24 13:26:38,423.0,1659.0,1.0,1.11.0,7478.0,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-05-04 15:08:06.000000,2023-05-04 15:08:03,3538.0,29.0,22.0,400.0,135.0,Self Sovereign Identity SDK.,48.0,25,True,1028.0,58.0,7.0,34.0,2023-05-01 01:36:25,91.0,4.0,2.0,0.10.1,,5.0,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-05-03 17:22:12.000000,2023-05-02 16:26:08,2707.0,63.0,12.0,326.0,129.0,Use web3 identity / self-sovereign identity (SSI).,55.0,23,True,527.0,99.0,21.0,257.0,2023-05-02 16:52:23,,456.0,2.0,1.2305021626.0,33.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-05-02 16:52:21.014079,4988.0,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-05-03 15:03:36.000000,2023-05-03 13:33:05,1005.0,406.0,623.0,208.0,8577.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,36.0,1.0,313.0,206.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,
5,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-05-04 08:15:13.000000,2023-05-02 16:55:06,1006.0,107.0,75.0,633.0,382.0,A cross-platform toolkit for decentralized identity.,50.0,20,True,18.0,,122.0,193.0,,140.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,
6,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/sh-id-platform,https://github.com/0xPolygonID/sh-id-platform,,2022-11-08 12:11:09,2023-05-04 18:47:34.000000,2023-05-04 10:54:42,1217.0,21.0,13.0,369.0,55.0,Self Hosted Issuer Node.,23.0,19,False,820.0,9.0,8.0,75.0,2023-05-02 16:24:03,6.0,,2.0,2.0.0,,,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,90.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,100.0,3.0,,2021-03-22 11:09:10,38.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-05-04 13:00:06.000000,2023-05-04 12:59:48,6882.0,10.0,7.0,478.0,27.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,734.0,1.0,82.0,1377.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-05-04 19:39:43.000000,2023-05-04 19:26:53,2260.0,1937.0,91.0,1774.0,16329.0,Authentication for the Web.,527.0,41,True,170.0,100.0,124.0,2842.0,2023-04-28 15:09:18,78312.0,1891474.0,1.0,@next-auth/neo4j-adapter@1.0.6,,78312.0,,,,,next-auth,https://www.npmjs.com/package/next-auth,1891474.0,,,,,,,,,,
