,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,new_addition,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-05-09 10:57:15.000000,2023-05-09 10:56:44,22376.0,912.0,193.0,5663.0,1225.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",430.0,34,True,499.0,199.0,821.0,2569.0,2023-05-09 10:57:15,333.0,568.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-05-08 10:02:54.000000,2023-05-08 10:00:55,1503.0,27.0,11.0,1594.0,49.0,Trinsic SDK repository.,41.0,27,False,78.0,33.0,4.0,370.0,2023-04-24 13:26:38,425.0,1667.0,1.0,1.11.0,7515.0,,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-05-09 08:20:33.000000,2023-05-08 15:12:21,3625.0,29.0,22.0,411.0,138.0,Self Sovereign Identity SDK.,48.0,25,True,1097.0,59.0,6.0,35.0,2023-05-07 22:03:49,148.0,4.0,2.0,0.11.0,,61.0,,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-05-08 17:38:21.000000,2023-05-08 14:31:15,2713.0,63.0,12.0,330.0,130.0,Use web3 identity / self-sovereign identity (SSI).,56.0,23,True,489.0,102.0,21.0,258.0,2023-05-08 14:13:55,,457.0,2.0,1.2305081125.0,34.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-05-08 11:34:13.589239,5000.0,,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-05-05 06:36:05.000000,2023-05-05 06:36:04,1006.0,406.0,621.0,208.0,8581.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,35.0,1.0,313.0,206.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-05-09 00:17:30.000000,2023-05-02 16:55:06,1006.0,107.0,75.0,633.0,382.0,A cross-platform toolkit for decentralized identity.,50.0,20,True,18.0,,122.0,193.0,,140.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,,
6,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-05-09 11:01:53.000000,2023-05-09 08:54:28,1269.0,21.0,12.0,382.0,55.0,Self Hosted Issuer Node.,23.0,20,False,835.0,10.0,8.0,76.0,2023-05-09 09:03:04,6.0,,2.0,.2.1.0,,,,,,,0xPolygonID/issuer-node,1.0,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,90.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,100.0,3.0,,2021-03-22 11:09:10,38.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-05-09 09:18:41.000000,2023-05-09 09:18:19,6898.0,10.0,7.0,484.0,27.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,714.0,1.0,79.0,1389.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-05-08 08:57:39.000000,2023-05-05 00:38:47,2266.0,1945.0,91.0,1781.0,16430.0,Authentication for the Web.,527.0,41,True,164.0,100.0,134.0,2855.0,2023-04-28 15:09:18,80171.0,1887933.0,1.0,@next-auth/neo4j-adapter@1.0.6,,80171.0,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,1887933.0,,,,,,,,,,,
