,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-05-18 17:41:03.000000,2023-05-18 14:09:49,22430.0,924.0,192.0,5720.0,1230.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",434.0,34,True,466.0,199.0,827.0,2583.0,2023-05-09 10:57:15,337.0,576.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-05-18 00:10:33.000000,2023-05-17 23:40:51,1511.0,27.0,11.0,1604.0,49.0,Trinsic SDK repository.,41.0,27,False,75.0,33.0,4.0,370.0,2023-04-24 13:26:38,430.0,1683.0,1.0,1.11.0,7631.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-05-18 17:05:30.000000,2023-05-18 17:05:24,3688.0,30.0,22.0,421.0,147.0,Self Sovereign Identity SDK.,48.0,25,True,1104.0,60.0,9.0,36.0,2023-05-07 22:03:49,109.0,4.0,2.0,0.11.0,,8.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-05-17 11:31:39.794198,2023-05-17 11:24:02,2726.0,65.0,12.0,339.0,131.0,Use web3 identity / self-sovereign identity (SSI).,56.0,23,True,448.0,107.0,21.0,259.0,2023-05-15 14:38:12,,465.0,2.0,1.2305121558.0,35.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-05-12 16:08:43.462498,5017.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-05-18 15:28:05.000000,2023-05-18 15:28:03,1011.0,406.0,621.0,211.0,8586.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,38.0,1.0,313.0,207.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-05-18 03:21:11.000000,2023-05-17 08:11:05,1007.0,109.0,75.0,635.0,386.0,A cross-platform toolkit for decentralized identity.,51.0,20,True,18.0,,122.0,193.0,,143.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
6,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-05-18 10:38:46.000000,2023-05-16 09:19:02,1271.0,24.0,12.0,393.0,59.0,Self Hosted Issuer Node.,23.0,20,False,775.0,11.0,9.0,79.0,2023-05-16 09:20:19,8.0,,2.0,.2.1.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,91.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,100.0,3.0,,2021-03-22 11:09:10,38.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-05-18 14:01:50.000000,2023-05-18 14:01:28,6931.0,10.0,7.0,484.0,28.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,582.0,1.0,81.0,1415.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-05-17 19:29:39.000000,2023-05-12 10:51:59,2272.0,1968.0,91.0,1792.0,16623.0,Authentication for the Web.,527.0,41,True,153.0,100.0,147.0,2896.0,2023-04-28 15:09:18,84900.0,2018798.0,1.0,@next-auth/neo4j-adapter@1.0.6,,84900.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2018798.0,,,,,,,,,,,
