,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,trending,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-06-01 17:49:20.000000,2023-06-01 15:36:03,22541.0,933.0,193.0,5773.0,1239.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",439.0,34,True,493.0,200.0,839.0,2595.0,2023-05-23 13:25:58,344.0,576.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-06-01 18:16:41.000000,2023-05-31 18:07:59,1519.0,27.0,11.0,1622.0,49.0,Trinsic SDK repository.,41.0,27,False,75.0,33.0,4.0,370.0,2023-04-24 13:26:38,443.0,1635.0,1.0,1.11.0,7745.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/ssi-sdk,https://github.com/Sphereon-Opensource/ssi-sdk,Apache-2.0,2021-04-12 14:54:14,2023-06-01 10:47:48.000000,2023-05-27 16:05:35,3692.0,32.0,27.0,427.0,156.0,Self Sovereign Identity SDK.,48.0,26,True,923.0,60.0,10.0,36.0,2023-05-07 22:03:49,116.0,4.0,2.0,0.11.0,,10.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-06-01 15:53:58.124820,2023-06-01 15:48:18,2779.0,69.0,12.0,350.0,142.0,Use web3 identity / self-sovereign identity (SSI).,56.0,23,True,428.0,112.0,20.0,260.0,2023-06-01 15:54:01,,467.0,2.0,1.2306011534.0,39.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-06-01 15:42:29.273524,5145.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-06-01 17:58:48.000000,2023-06-01 17:58:46,1014.0,406.0,621.0,213.0,8593.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,35.0,1.0,313.0,208.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-06-01 14:44:19.000000,2023-05-23 16:47:33,1274.0,26.0,13.0,399.0,66.0,Self Hosted Issuer Node.,23.0,21,False,682.0,12.0,11.0,80.0,2023-05-23 16:53:24,10.0,,2.0,.2.1.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-06-01 00:55:55.000000,2023-05-17 08:11:05,1007.0,112.0,75.0,635.0,390.0,A cross-platform toolkit for decentralized identity.,51.0,20,True,18.0,,122.0,193.0,,143.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-04-11 16:19:34.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,197.0,93.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,18,False,15.0,100.0,3.0,,2021-03-22 11:09:10,40.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-06-01 10:24:24.000000,2023-06-01 10:24:09,6995.0,10.0,7.0,489.0,29.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,18,False,481.0,1.0,70.0,1458.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-06-01 17:21:49.000000,2023-06-01 17:21:47,2291.0,2004.0,93.0,1808.0,16880.0,Authentication for the Web.,532.0,41,True,160.0,100.0,141.0,2962.0,2023-06-01 17:21:48,90801.0,2054625.0,1.0,@auth/typeorm-adapter@1.0.0,,90801.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2054625.0,,,,,,,,,,,
10,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-06-01 18:16:04.000000,2023-06-01 18:07:58,3658.0,1812.0,235.0,3879.0,10859.0,CoreDNS is a DNS server that chains plugins.,357.0,41,True,82.0,65.0,80.0,2049.0,2023-02-06 18:30:04,5128.0,2792650.0,1.0,1.10.1,6697271.0,5128.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-02-06 18:31:58.105381,235767239.0,,,,,138.0,,,,,,,,,,
