,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-07-13 18:15:31.000000,2023-07-13 18:02:46,22811.0,947.0,194.0,5918.0,1269.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",444.0,34,True,530.0,207.0,862.0,2638.0,2023-06-29 16:36:31,358.0,632.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-07-13 14:39:18.000000,2023-07-11 18:42:05,1536.0,26.0,13.0,1652.0,49.0,Trinsic SDK repository.,41.0,27,False,51.0,33.0,4.0,370.0,2023-04-24 13:26:38,469.0,1633.0,1.0,1.11.0,8046.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-07-12 22:15:49.000000,2023-07-12 22:15:41,3983.0,41.0,31.0,459.0,179.0,Self Sovereign Identity SDK.,56.0,25,True,777.0,64.0,9.0,44.0,2023-07-10 15:34:14,115.0,6.0,2.0,0.13.0,,11.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-07-11 23:25:40.736253,2023-07-11 23:20:17,2885.0,71.0,12.0,382.0,158.0,Use web3 identity / self-sovereign identity (SSI).,57.0,24,True,235.0,143.0,17.0,270.0,2023-07-11 23:30:54,,724.0,2.0,1.2306281832.0,54.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-06-28 18:43:04.840338,6913.0,,,,,,,,,,,,,,,
4,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-07-13 17:18:51.000000,2023-07-13 09:34:43,1529.0,37.0,12.0,463.0,80.0,Self Hosted Issuer Node.,27.0,22,False,568.0,21.0,14.0,86.0,2023-07-13 09:36:20,24.0,,2.0,2.2.0,,,,,,,0xPolygonID/issuer-node,1.0,,,,,,,,,,,,,
5,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-07-13 17:12:19.000000,2023-07-13 17:12:18,1024.0,407.0,619.0,222.0,8595.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,26.0,1.0,315.0,209.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-07-13 17:32:14.000000,2023-06-30 17:24:41,1014.0,110.0,75.0,644.0,399.0,A cross-platform toolkit for decentralized identity.,51.0,20,True,17.0,,125.0,195.0,,146.0,,2.0,,,40.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-06-30 09:23:33.000000,2023-04-11 16:19:31,6279.0,55.0,96.0,198.0,96.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-07-10 08:29:28.000000,2023-07-07 04:40:45,7054.0,12.0,7.0,495.0,30.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,254.0,1.0,71.0,1491.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-07-13 16:50:34.000000,2023-07-13 16:43:10,2342.0,2073.0,97.0,1855.0,17584.0,Authentication for the Web.,541.0,41,True,128.0,100.0,173.0,3092.0,2023-07-10 16:21:23,108582.0,2154339.0,1.0,@auth/mikro-orm-adapter@1.0.1,,108582.0,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2154339.0,,,,,,,,,,
