,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_dependent_project_count,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-07-27 15:10:49.000000,2023-07-27 13:46:33,22972.0,952.0,192.0,6000.0,1282.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",446.0,34,True,629.0,210.0,863.0,2675.0,2023-07-24 22:28:58,364.0,648.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-07-25 01:43:54.000000,2023-07-25 01:43:48,4003.0,41.0,33.0,460.0,183.0,Self Sovereign Identity SDK.,56.0,25,True,568.0,64.0,9.0,44.0,2023-07-10 15:34:14,116.0,6.0,2.0,0.13.0,11.0,,,,,,,,,,,,,,,,,,,,
2,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-07-22 16:09:03.000000,2023-07-20 17:57:14,1544.0,26.0,14.0,1659.0,50.0,Trinsic SDK repository.,41.0,24,False,45.0,33.0,4.0,370.0,2023-04-24 13:26:38,9.0,1652.0,2.0,1.11.0,,8156.0,-3.0,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-07-11 23:25:40.736253,2023-07-11 23:20:17,2518.0,59.0,11.0,305.0,142.0,Use web3 identity / self-sovereign identity (SSI).,42.0,22,True,161.0,134.0,7.0,229.0,2023-07-11 23:30:54,,603.0,2.0,1.2306281832.0,,55.0,-2.0,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-06-28 18:43:04.840338,7351.0,,,,,,,,,,,,,,
4,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-07-26 12:34:38.000000,2023-07-20 12:35:15,1535.0,40.0,12.0,472.0,80.0,Self Hosted Issuer Node.,27.0,22,False,344.0,21.0,20.0,88.0,2023-07-13 09:36:20,29.0,,2.0,2.2.0,,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,
5,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-07-27 11:30:06.000000,2023-07-27 11:30:00,1039.0,407.0,617.0,227.0,8598.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,36.0,1.0,315.0,210.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-07-27 13:05:11.000000,2023-07-14 13:35:29,1015.0,110.0,75.0,645.0,399.0,A cross-platform toolkit for decentralized identity.,51.0,20,True,10.0,,124.0,196.0,,146.0,,2.0,,40.0,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-07-20 15:10:24.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,200.0,97.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-07-27 11:20:08.000000,2023-07-27 11:20:01,7082.0,12.0,8.0,497.0,31.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,212.0,1.0,74.0,1510.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-07-27 16:17:02.000000,2023-07-26 13:04:12,2362.0,2090.0,96.0,1878.0,17756.0,Authentication for the Web.,545.0,41,True,111.0,100.0,187.0,3136.0,2023-07-18 20:55:12,114243.0,2242930.0,1.0,next-auth@4.22.3,114243.0,,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2242930.0,,,,,,,,,,
