,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,trending,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-08-03 18:12:53.000000,2023-08-03 18:12:53,23028.0,949.0,191.0,6022.0,1283.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",447.0,34,True,653.0,211.0,893.0,2681.0,2023-07-31 12:40:39,364.0,630.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-08-03 08:58:57.000000,2023-08-02 00:37:42,4031.0,42.0,33.0,463.0,184.0,Self Sovereign Identity SDK.,56.0,25,True,426.0,66.0,10.0,44.0,2023-07-31 01:48:25,119.0,6.0,2.0,0.14.1,11.0,,,,,,,,,,,,,,,,,,,,
2,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-08-01 18:07:13.000000,2023-08-01 17:49:57,1546.0,26.0,14.0,1662.0,50.0,Trinsic SDK repository.,41.0,24,False,45.0,33.0,4.0,370.0,2023-04-24 13:26:38,9.0,1597.0,2.0,1.11.0,,8221.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-08-03 17:40:11.000000,2023-08-03 17:39:51,2539.0,59.0,12.0,317.0,142.0,Use web3 identity / self-sovereign identity (SSI).,46.0,23,True,168.0,139.0,9.0,229.0,2023-08-02 18:20:03,,4425.0,2.0,1.2308021811.0,,55.0,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-08-02 18:20:02.399015,7582.0,,,,,,,,,,,,,,,
4,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-08-03 16:13:28.000000,2023-08-02 08:13:34,1538.0,40.0,12.0,477.0,80.0,Self Hosted Issuer Node.,27.0,22,False,280.0,23.0,20.0,92.0,2023-08-02 08:22:33,34.0,,2.0,2.2.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
5,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-08-02 15:03:21.000000,2023-07-28 06:24:34,1042.0,407.0,616.0,228.0,8600.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,36.0,1.0,316.0,210.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-08-03 00:18:54.000000,2023-07-14 13:35:29,1015.0,111.0,77.0,649.0,400.0,A cross-platform toolkit for decentralized identity.,51.0,19,True,9.0,,125.0,197.0,,146.0,,3.0,,40.0,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,-1.0,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-07-20 15:10:24.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,200.0,97.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-08-03 11:07:39.000000,2023-08-03 11:07:34,7096.0,12.0,8.0,498.0,31.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,210.0,1.0,71.0,1522.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-08-03 15:51:08.000000,2023-08-03 14:14:39,2367.0,2107.0,95.0,1890.0,17880.0,Authentication for the Web.,548.0,41,True,115.0,100.0,181.0,3171.0,2023-07-18 20:55:12,117060.0,2321121.0,1.0,next-auth@4.22.3,117060.0,,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2321121.0,,,,,,,,,,
