,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,trending,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-08-17 18:06:05.000000,2023-08-17 18:06:03,23160.0,963.0,190.0,6077.0,1294.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",450.0,33,True,699.0,212.0,906.0,2701.0,2023-07-31 12:40:39,51.0,630.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-08-17 18:13:14.000000,2023-08-16 11:31:09,1568.0,26.0,14.0,1680.0,50.0,Trinsic SDK repository.,41.0,27,False,55.0,33.0,4.0,370.0,2023-04-24 13:26:38,496.0,1614.0,1.0,,1.11.0,8324.0,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-08-17 14:52:09.000000,2023-08-17 14:52:08,4109.0,45.0,33.0,467.0,189.0,Self Sovereign Identity SDK.,57.0,25,True,405.0,68.0,12.0,44.0,2023-08-10 02:52:57,65.0,6.0,2.0,,0.15.1,,1.0,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-08-13 23:38:18.424366,2023-08-13 23:33:42,2588.0,62.0,13.0,331.0,147.0,Use web3 identity / self-sovereign identity (SSI).,47.0,23,True,183.0,149.0,10.0,230.0,2023-08-13 23:43:03,,4590.0,2.0,,1.2308021811.0,56.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-08-02 18:20:02.399015,7978.0,,,,,,,,,,,,,,
4,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-08-17 13:23:38.000000,2023-08-14 14:35:10,1540.0,48.0,12.0,485.0,83.0,Self Hosted Issuer Node.,28.0,22,False,196.0,24.0,19.0,95.0,2023-08-03 19:46:10,36.0,,2.0,,2.2.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,
5,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-08-17 13:57:06.000000,2023-08-14 08:16:36,1050.0,407.0,615.0,230.0,8604.0,Solid - Re-decentralizing the web (project directory).,41.0,21,True,38.0,1.0,317.0,210.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-08-17 00:15:50.000000,2023-07-14 13:35:29,1015.0,113.0,77.0,650.0,403.0,A cross-platform toolkit for decentralized identity.,51.0,19,True,8.0,,126.0,197.0,,111.0,,3.0,,,,4.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,56.0,99.0,201.0,97.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-08-17 16:34:26.000000,2023-08-17 16:34:21,7143.0,12.0,8.0,498.0,31.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,205.0,1.0,68.0,1581.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-08-17 17:00:00.000000,2023-08-14 14:46:10,2413.0,2145.0,96.0,1917.0,18193.0,Authentication for the Web.,553.0,41,True,161.0,100.0,195.0,3217.0,2023-08-16 07:48:21,122252.0,2418414.0,1.0,,next-auth@4.23.1,,122252.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2418414.0,,,,,,,,,,
