,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-09-21 17:35:21.000000,2023-09-21 17:32:19,23496.0,974.0,191.0,6223.0,1306.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",455.0,33,True,798.0,219.0,919.0,2750.0,2023-08-29 15:46:20,50.0,614.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-09-21 18:19:54.000000,2023-09-21 18:17:45,1600.0,26.0,23.0,1730.0,52.0,Trinsic SDK repository.,41.0,28,False,67.0,33.0,35.0,374.0,2023-04-24 13:26:38,515.0,1597.0,1.0,1.11.0,8629.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-09-20 20:17:49.000000,2023-09-20 20:17:49,4233.0,46.0,33.0,472.0,195.0,Self Sovereign Identity SDK.,58.0,25,True,322.0,69.0,18.0,46.0,2023-08-19 18:17:47,57.0,6.0,2.0,0.15.1,,1.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-09-20 02:51:06.000000,2023-09-18 07:50:51,3313.0,63.0,13.0,348.0,144.0,All-In-One SSI infrastructure toolkit.,49.0,23,True,143.0,178.0,5.0,244.0,2023-09-18 07:58:36,,2745.0,2.0,1.2309171812.0,57.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-09-20 02:50:34.721688,9176.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-09-20 15:09:22.000000,2023-09-18 10:04:59,1070.0,408.0,611.0,239.0,8602.0,Solid - Re-decentralizing the web (project directory).,42.0,22,True,51.0,1.0,317.0,213.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-09-21 13:57:42.000000,2023-09-19 14:08:57,1546.0,57.0,12.0,511.0,87.0,Self Hosted Issuer Node.,30.0,21,False,126.0,26.0,21.0,96.0,2023-09-05 15:18:13,40.0,,2.0,2.2.0,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-09-21 18:16:26.000000,2023-09-18 14:43:26,1016.0,120.0,77.0,661.0,409.0,A cross-platform toolkit for decentralized identity.,52.0,19,True,6.0,,127.0,197.0,,116.0,,3.0,,,4.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,201.0,97.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-09-21 14:39:13.000000,2023-09-21 14:39:07,7255.0,13.0,8.0,504.0,35.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,225.0,1.0,63.0,1682.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-09-21 16:17:26.000000,2023-09-20 18:47:40,2470.0,2244.0,97.0,1976.0,18776.0,Authentication for the Web.,568.0,41,True,143.0,100.0,216.0,3340.0,2023-08-16 07:48:21,135461.0,2124767.0,1.0,next-auth@4.23.1,,135461.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2124767.0,,,,,,,,,,,
10,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-09-19 19:06:21.000000,2023-09-19 19:06:20,3754.0,1858.0,237.0,4008.0,11202.0,CoreDNS is a DNS server that chains plugins.,370.0,41,True,79.0,67.0,94.0,2095.0,2023-08-15 20:00:30,5521.0,2834672.0,1.0,1.11.1,6792376.0,5521.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,247843077.0,,,,,141.0,,,,,,,,,,
11,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-09-21 14:18:23.000000,2023-09-21 10:52:50,4777.0,1163.0,123.0,3869.0,8525.0,"An open source, general-purpose policy engine.",420.0,40,True,124.0,100.0,304.0,2042.0,2023-08-31 14:40:27,2875.0,4706782.0,1.0,0.56.0,3996531.0,2875.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-09-21 11:42:16.840022,430443050.0,,,,,38.0,,,,,,,,,,
12,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-09-15 10:51:37.000000,2023-09-03 20:08:57,1676.0,456.0,69.0,491.0,2648.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",194.0,40,True,28.0,48.0,75.0,293.0,2023-01-10 13:13:43,432692.0,81542964.0,1.0,3.2.2,,432692.0,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,81542964.0,2.0,,,,,,
13,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-09-21 12:34:55.000000,2023-09-19 17:06:48,8033.0,1859.0,146.0,3047.0,10717.0,Automatically provision and manage TLS certificates in Kubernetes.,410.0,38,True,162.0,100.0,160.0,2936.0,2023-09-12 15:47:03,631.0,1522610.0,1.0,1.13.0,56336592.0,631.0,,,,,,,,,,,,,-1.0,,,,,,
14,speechbrain,speechbrain/speechbrain,,,voice,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-09-21 18:13:21.000000,2023-09-21 17:29:43,9166.0,1115.0,123.0,976.0,6580.0,A PyTorch-based Speech Toolkit.,220.0,38,True,629.0,9.0,93.0,848.0,2023-07-22 18:07:47,954.0,154041.0,1.0,0.5.15,,954.0,,,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,154041.0,,,,,,,
15,passport,jaredhanson/passport,,,authentication,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-09-19 03:43:02.000000,2023-03-10 17:27:55,617.0,1180.0,314.0,155.0,21802.0,"Simple, unobtrusive authentication for Node.js.",38.0,37,True,,,335.0,421.0,,914764.0,7577150.0,2.0,,,914764.0,,,,,,passport,https://www.npmjs.com/package/passport,7577150.0,,,,,,,,,,,
16,keycloak,keycloak/keycloak,,,idp,['cncf'],https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-09-21 17:31:51.000000,2023-09-21 16:03:00,22905.0,5534.0,366.0,12759.0,17441.0,Open Source Identity and Access Management For Modern Applications and Services.,1256.0,37,True,696.0,41.0,1786.0,5584.0,2023-09-12 17:46:24,,62490.0,1.0,22.0.3,2062194.0,,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,,
17,vault,hashicorp/vault,,,pki,['hashicorp'],https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-09-21 18:10:18.000000,2023-09-21 18:07:38,18231.0,3804.0,815.0,17414.0,28406.0,"A tool for secrets management, encryption as a service, and privileged access management.",1414.0,36,False,652.0,100.0,903.0,4769.0,2023-09-13 15:24:18,6613.0,,2.0,1.14.3,,6613.0,,,,,,,,,,,,,,,,,,,
18,ory-hydra,ory/hydra,,,authentication,['ory'],https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-09-21 15:31:52.000000,2023-09-19 13:51:34,3710.0,1301.0,232.0,1710.0,14502.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",289.0,36,True,70.0,100.0,71.0,1386.0,2023-05-24 08:55:23,2.0,4081166.0,2.0,2.1.2,630840.0,2.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,407160861.0,,,,,75.0,,,,,https://k8s.ory.sh/helm/charts,,,,,
19,ory-kratos,ory/kratos,,,idp,['ory'],https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-09-21 16:11:23.000000,2023-09-21 08:17:51,3951.0,791.0,109.0,1698.0,9346.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",209.0,36,True,139.0,43.0,185.0,973.0,2023-07-12 20:24:48,324.0,1753851.0,1.0,1.0.0,32960.0,324.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,112198565.0,,,,,17.0,,,,,https://k8s.ory.sh/helm/charts,,,,,
20,casbin,casbin/casbin,,,authorization,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-09-02 15:41:05.000000,2023-09-02 15:35:45,1076.0,1530.0,232.0,475.0,15744.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",135.0,35,True,16.0,100.0,23.0,730.0,2023-09-02 15:37:12,2544.0,223326.0,2.0,2.77.2,,2544.0,,,,,,casbin,https://www.npmjs.com/package/casbin,124451.0,,casbin,https://pypi.org/project/casbin,98875.0,,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,
21,casl,stalniy/casl,,,authorization,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-09-20 10:52:58.000000,2023-09-19 06:33:58,1496.0,246.0,41.0,334.0,5149.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,66.0,35,True,19.0,100.0,8.0,423.0,2023-07-28 06:28:52,53569.0,1814961.0,2.0,@casl/mongoose@7.2.1,,53569.0,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,1814961.0,,,,,3.0,,,,,,
22,face-api-js,justadudewhohacks/face-api.js,,,face,,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,3484.0,333.0,107.0,15433.0,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,25.0,34,False,,38.0,421.0,389.0,2020-03-22 14:01:55,7292.0,122140.0,1.0,0.22.2,,7292.0,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,122140.0,,,,,,,,,,,
23,paddlespeech,PaddlePaddle/PaddleSpeech,,,voice,,https://github.com/PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-09-19 06:25:53.000000,2023-09-19 06:25:53,4731.0,1598.0,183.0,1679.0,8650.0,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",128.0,34,True,20.0,15.0,343.0,1317.0,2023-04-14 09:36:52,71.0,169194.0,3.0,r1.4.1,,71.0,,,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,169194.0,-1.0,,,,,,
24,insightface,deepinsight/insightface,,,face,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-09-10 02:01:49.000000,2023-09-10 02:01:49,2281.0,4659.0,487.0,147.0,18161.0,State-of-the-art 2D and 3D Face Analysis Project.,57.0,33,False,30.0,1.0,949.0,1331.0,2023-04-02 07:43:27,925.0,109917.0,2.0,0.7,549582.0,925.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,138.0,,,,,,,,,,,,,,,
25,cas,apereo/cas,,,idp,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-09-21 14:31:57.346418,2023-09-21 09:08:30,23707.0,3797.0,609.0,4452.0,10454.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,339.0,33,True,417.0,100.0,,,2023-08-24 17:24:13,13.0,5793.0,2.0,6.6.10,,13.0,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-09-21 14:31:57.346418,834319.0,,,,,128.0,,,,,,,,,,
26,pomerium,pomerium/pomerium,,,machine,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-09-21 08:03:21.000000,2023-09-20 14:22:23,3091.0,266.0,36.0,3609.0,3664.0,Pomerium is an identity and context-aware access proxy.,91.0,33,True,145.0,100.0,81.0,842.0,2023-08-28 14:49:52,13.0,15170253.0,2.0,0.23.0,47242.0,13.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-09-20 15:47:02.277129,849477935.0,,,,,10.0,,,,,,,,,,
27,ockam,build-trust/ockam,,,machine,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-09-21 18:05:52.000000,2023-09-21 16:14:19,6714.0,401.0,57.0,4481.0,3582.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",214.0,33,True,796.0,100.0,242.0,1152.0,2023-09-13 21:58:51,182.0,14663.0,2.0,ockam_v0.92.0,322602.0,182.0,,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,
28,spire,spiffe/spire,,,machine,"['cncf', 'linux-foundation']",https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-09-21 16:29:16.000000,2023-09-21 16:16:10,6181.0,398.0,84.0,3225.0,1499.0,The SPIFFE Runtime Environment.,170.0,32,True,146.0,85.0,147.0,1138.0,2023-09-20 17:39:09,118.0,2189.0,2.0,1.8.0,155445.0,118.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,,
29,ageitgey-face-recognition,ageitgey/face_recognition,,,face,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-09-13 13:23:14.000000,2022-06-10 09:12:18,238.0,12770.0,1567.0,221.0,49391.0,The worlds simplest facial recognition api for Python and the command line.,54.0,31,False,,2.0,712.0,582.0,2018-04-02 17:18:43,13.0,48690.0,2.0,1.2.2,1147.0,13.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,6840.0,,,,,16.0,face_recognition,https://pypi.org/project/face_recognition,48589.0,,,,,,,
30,spicedb,authzed/spicedb,,,authorization,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-09-19 19:50:24.000000,2023-09-19 19:42:20,3126.0,200.0,37.0,1137.0,3854.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",35.0,31,True,202.0,55.0,103.0,283.0,2023-09-05 15:07:35,32.0,38378.0,2.0,1.25.0,22345.0,32.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-09-05 15:25:56.434610,936195.0,,,,,4.0,,,,,,,,,,
31,faceswap,deepfakes/faceswap,,,face,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-09-15 04:08:53.000000,2023-09-09 17:40:36,1777.0,12426.0,1528.0,512.0,47087.0,Deepfakes Software For All.,97.0,30,True,39.0,4.0,20.0,805.0,2023-06-18 18:08:19,,1949.0,2.0,2.2.0,107238.0,,,,,,,,,,,,,,-1.0,,,,,,
32,dex,dexidp/dex,,,authentication,['linux-foundation'],https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-09-21 06:23:38.000000,2023-08-24 10:21:20,2551.0,1461.0,178.0,1855.0,8434.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,219.0,30,True,32.0,80.0,275.0,792.0,2023-06-30 14:12:39,141.0,3.0,2.0,2.37.0,305.0,141.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,
33,keto,ory/keto,,,authorization,['ory'],https://github.com/ory/keto,https://github.com/ory/keto,Apache-2.0,2018-03-17 10:40:15,2023-09-21 17:40:01.000000,2023-09-20 11:40:12,1467.0,297.0,58.0,1056.0,4232.0,"Open Source (Go) implementation of Zanzibar: Googles Consistent, Global Authorization System. Ships gRPC, REST APIs,..",69.0,30,True,53.0,50.0,44.0,256.0,,18.0,769785.0,3.0,,17134.0,18.0,oryd/keto,https://hub.docker.com/r/oryd/keto,2023-03-09 14:30:27.177505,50786343.0,,,,,6.0,,,,2.0,,,,,,
34,did-jwt,decentralized-identity/did-jwt,,,decentralized,['dif'],https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-09-21 17:06:19.000000,2023-09-18 03:46:34,591.0,64.0,40.0,206.0,303.0,Create and verify DID verifiable JWTs in Javascript.,40.0,30,True,16.0,100.0,7.0,78.0,2023-09-18 03:47:15,3903.0,125183.0,1.0,7.2.8,,3903.0,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,125183.0,,,,,,,,,,,
35,deepface,serengil/deepface,,,face,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-09-08 07:01:50.000000,2023-09-04 18:27:54,1080.0,1454.0,107.0,83.0,7413.0,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",43.0,29,True,30.0,,8.0,754.0,,1888.0,28676.0,3.0,,,1888.0,,,,,,,,,,deepface,https://pypi.org/project/deepface,28676.0,,,,,,,
36,casdoor,casdoor/casdoor,,,idp,,https://github.com/casdoor/casdoor,https://github.com/casdoor/casdoor,Apache-2.0,2020-10-22 14:40:03,2023-09-21 15:13:28.000000,2023-09-21 15:11:58,1973.0,829.0,55.0,1243.0,7038.0,"An open-source Identity and Access Management (IAM) / Single-Sign-On (SSO) platform with web UI supporting OAuth 2.0,..",141.0,29,True,249.0,100.0,106.0,912.0,2023-09-21 00:51:51,3.0,2117.0,2.0,1.421.1,,3.0,casbin/casdoor,https://hub.docker.com/r/casbin/casdoor,2023-09-20 21:50:47.950431,74098.0,,,,,9.0,,,,,,,,,,
