,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,trending,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-10-19 17:57:58.000000,2023-10-19 17:38:53,23621.0,983.0,189.0,6333.0,1321.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",459.0,33,True,694.0,226.0,922.0,2781.0,2023-10-12 15:21:21,52.0,600.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-10-19 00:59:57.000000,2023-10-16 12:00:02,1618.0,27.0,23.0,1755.0,53.0,Trinsic SDK repository.,41.0,28,False,74.0,34.0,24.0,394.0,2023-10-13 17:40:05,534.0,1580.0,1.0,1.12.0,8800.0,1.0,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-10-15 02:11:38.000000,2023-10-14 23:14:56,4411.0,48.0,34.0,496.0,198.0,Self Sovereign Identity SDK.,60.0,25,True,383.0,82.0,22.0,52.0,2023-10-14 23:03:15,57.0,4.0,2.0,0.17.5,,,1.0,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-10-19 17:41:53.000000,2023-10-19 00:24:58,3420.0,64.0,13.0,368.0,150.0,All-In-One SSI infrastructure toolkit.,50.0,25,True,238.0,186.0,8.0,244.0,2023-10-18 13:34:39,,2139.0,2.0,1.2310181323.0,57.0,1.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-10-18 13:36:09.505112,9716.0,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-10-18 15:30:22.000000,2023-10-12 16:18:10,1078.0,409.0,612.0,247.0,8605.0,Solid - Re-decentralizing the web (project directory).,42.0,22,True,48.0,1.0,317.0,216.0,2021-12-21 13:00:06,,,1.0,,,,,,,,,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-10-17 13:25:03.000000,2023-10-10 12:42:40,1555.0,63.0,13.0,530.0,94.0,Self Hosted Issuer Node.,30.0,21,False,20.0,30.0,20.0,97.0,2023-10-10 12:43:37,54.0,,2.0,2.2.1,,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-10-19 00:16:56.000000,2023-10-02 22:37:32,1020.0,123.0,79.0,666.0,411.0,A cross-platform toolkit for decentralized identity.,53.0,19,True,5.0,,128.0,197.0,,117.0,,3.0,,,,4.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,
7,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,201.0,98.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,17,False,,100.0,3.0,,2021-03-22 11:09:10,41.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-10-19 15:09:08.000000,2023-10-19 15:06:56,7371.0,14.0,9.0,510.0,35.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,292.0,1.0,72.0,1783.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-10-19 13:10:33.000000,2023-10-19 12:40:26,2533.0,2312.0,97.0,2022.0,19255.0,Authentication for the Web.,575.0,41,True,185.0,100.0,223.0,3401.0,2023-10-18 15:07:14,145951.0,2747868.0,1.0,next-auth@4.24.3,,,145951.0,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2747868.0,,,,,,,,,,
