,name,github_id,group_id,group,category,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,release_count,open_issue_count,closed_issue_count,latest_stable_release_published_at,dependent_project_count,monthly_downloads,projectrank_placing,latest_stable_release_number,github_release_downloads,github_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id
0,aries,hyperledger/aries,aries,True,decentralized,['hyperledger'],https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-11-09 16:57:51.000000,2023-11-09 12:27:28,23795.0,990.0,189.0,6417.0,1335.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",462.0,33,True,683.0,228.0,941.0,2809.0,2023-10-25 15:52:57,52.0,584.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1,trinsic-id,trinsic-id/sdk,trinsic-id,True,decentralized,,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-11-07 21:42:28.000000,2023-11-02 16:18:23,1622.0,27.0,23.0,1770.0,53.0,Trinsic SDK repository.,41.0,28,False,59.0,34.0,32.0,394.0,2023-10-13 17:40:05,544.0,1544.0,1.0,1.12.0,8922.0,,,,,,,,,,,,,,,,,,,,
2,sphereon-ssi,sphereon-opensource/ssi-sdk,sphereon-ssi,True,decentralized,,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-11-08 13:52:53.000000,2023-11-03 22:19:34,4425.0,50.0,34.0,503.0,202.0,Self Sovereign Identity SDK.,60.0,25,True,291.0,82.0,22.0,54.0,2023-10-14 23:03:15,59.0,4.0,2.0,0.17.5,,1.0,,,,,,,,,,,,,,,,,,,
3,waltid-ssikit,walt-id/waltid-ssikit,waltid-ssikit,True,decentralized,,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-11-08 14:03:57.000000,2023-11-02 21:26:07,3456.0,65.0,15.0,405.0,152.0,All-In-One SSI infrastructure toolkit.,50.0,25,True,203.0,211.0,7.0,247.0,2023-11-02 21:32:38,,1796.0,2.0,1.2310181323.0,57.0,,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-10-18 13:36:09.505112,10014.0,,,,,,,,,,,,,,,
4,solid-project,solid/solid,solid-project,True,standards,['solid'],https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-11-09 16:58:16.000000,2023-11-09 16:58:15,1098.0,410.0,612.0,253.0,8605.0,Solid - Re-decentralizing the web (project directory).,43.0,23,True,52.0,1.0,317.0,217.0,2021-12-21 13:00:06,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,
5,polygon-id,0xPolygonID/sh-id-platform,polygon-id,True,decentralized,,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-11-09 13:29:49.000000,2023-11-09 13:24:24,1680.0,67.0,13.0,551.0,100.0,Self Hosted Issuer Node.,31.0,22,True,104.0,33.0,23.0,99.0,2023-11-09 13:29:49,65.0,,2.0,2.3.0,,,,,,,1.0,0xPolygonID/issuer-node,,,,,,,,,,,,,
6,spruceid,spruceid/didkit,spruceid,True,decentralized,,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-11-09 00:17:09.000000,2023-11-01 15:51:52,1029.0,124.0,80.0,673.0,417.0,A cross-platform toolkit for decentralized identity.,56.0,20,True,14.0,,129.0,198.0,,117.0,,2.0,,,4.0,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
7,talao-altme,talaodao/altme,talao-altme,True,decentralized,,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-11-09 12:41:35.000000,2023-11-08 21:06:34,7435.0,15.0,9.0,518.0,36.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,18.0,17,False,324.0,1.0,75.0,1830.0,2023-01-06 16:00:40,,,3.0,,,,,,,,,,,,,,,,,,,,,,
8,evernym-ssi,evernym/verity,evernym-ssi,True,decentralized,,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,55.0,99.0,201.0,98.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,144.0,16,False,,100.0,3.0,,2021-03-22 11:09:10,42.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
9,nextauthjs,nextauthjs/next-auth,,,authentication,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-11-09 15:21:00.000000,2023-11-09 15:21:00,2608.0,2377.0,98.0,2065.0,19695.0,Authentication for the Web.,589.0,42,True,202.0,100.0,232.0,3458.0,2023-10-18 15:07:14,154730.0,2744343.0,1.0,next-auth@4.24.3,,154730.0,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2744343.0,,,,,,,,,,
10,coredns,coredns/coredns,,,machine,"['linux-foundation', 'cncf']",https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-11-09 13:49:06.000000,2023-11-09 13:49:05,3785.0,1877.0,237.0,4051.0,11363.0,CoreDNS is a DNS server that chains plugins.,371.0,41,True,68.0,67.0,89.0,2111.0,2023-08-15 20:00:30,5624.0,2820922.0,1.0,1.11.1,6839628.0,5624.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,252208101.0,,,,,,145.0,,,,,,,,,
11,open-policy-agent,open-policy-agent/opa,,,authorization,"['cncf', 'linux-foundation']",https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-11-09 16:06:42.000000,2023-11-07 17:29:21,4861.0,1177.0,125.0,3961.0,8665.0,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",426.0,40,True,136.0,100.0,317.0,2096.0,2023-10-26 22:37:54,3040.0,4850887.0,1.0,0.58.0,4457408.0,3040.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-11-07 18:16:23.905618,452531340.0,,,,,,39.0,,,,,,,,,
12,oauthlib,oauthlib/oauthlib,,,authentication,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-10-25 05:42:37.000000,2023-10-25 05:42:36,1677.0,458.0,69.0,492.0,2662.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",195.0,40,True,29.0,48.0,76.0,293.0,2023-01-10 13:13:43,456469.0,84924058.0,1.0,3.2.2,,456469.0,,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,84924058.0,,,,,,
13,cert-manager,cert-manager/cert-manager,,,pki,['linux-foundation'],https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-11-08 18:34:31.000000,2023-11-06 21:57:09,8126.0,1879.0,148.0,3117.0,10863.0,Automatically provision and manage TLS certificates in Kubernetes.,414.0,39,True,175.0,100.0,164.0,2971.0,2023-10-30 12:58:49,678.0,1621844.0,1.0,1.13.2,61630102.0,678.0,,,,,,,,,,,,,,,,,,,
14,speechbrain,speechbrain/speechbrain,,,voice,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-11-09 17:29:18.000000,2023-10-30 10:16:51,9583.0,1139.0,124.0,1020.0,6800.0,A PyTorch-based Speech Toolkit.,223.0,38,True,264.0,9.0,95.0,861.0,2023-07-22 18:07:47,1089.0,188575.0,1.0,0.5.15,,1089.0,,,,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,188575.0,,,,,,
