,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,trending,brew_id,updated_github_id,gem_url,new_addition,apt_id
0,weboftrust,https://github.com/WebOfTrust,organizations,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,identity-foundation,https://identity.foundation/,organizations,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,solidproject,https://github.com/solid,organizations,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,w3c,https://github.com/w3c,organizations,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,openid,https://github.com/openid,organizations,OpenID Foundation Working Groups.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,trustoverip,https://github.com/trustoverip,organizations,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,42,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-11-11 06:18:14.000000,2023-11-10 20:41:20,2617.0,206.0,2383.0,96.0,2068.0,234.0,3463.0,19718.0,2023-11-10 18:09:32,next-auth@4.24.5,100.0,155866.0,155866.0,589.0,https://www.npmjs.com/package/next-auth,2749200.0,2749200.0,1.0,,,,,,,,,,,,,,,,,,
7,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-11-11 03:54:16.000000,2023-11-11 03:54:16,3789.0,71.0,1878.0,237.0,4053.0,88.0,2112.0,11367.0,2023-08-15 20:00:30,1.11.1,67.0,5638.0,5638.0,374.0,,,2822876.0,1.0,coredns/coredns,6841886.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,145.0,252385445.0,,,,,,,,,,,,
8,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-11-11 06:46:23.000000,2023-11-10 14:37:38,4866.0,141.0,1177.0,125.0,3964.0,317.0,2097.0,8670.0,2023-10-26 22:37:54,0.58.0,100.0,3051.0,3051.0,426.0,,,4861768.0,1.0,openpolicyagent/opa,4474352.0,https://hub.docker.com/r/openpolicyagent/opa,2023-11-10 15:27:16.037682,39.0,453533447.0,,,,,,,,,,,,
9,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,40,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-10-25 05:42:37.000000,2023-10-25 05:42:36,1677.0,29.0,458.0,69.0,492.0,76.0,293.0,2664.0,2023-01-10 13:13:43,3.2.2,48.0,457790.0,457790.0,195.0,,,84993258.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,84993258.0,,,,,,,,,
