,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,trending,gem_url,updated_github_id,apt_id
0,weboftrust,https://github.com/WebOfTrust,organizations,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,identity-foundation,https://identity.foundation/,organizations,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,solidproject,https://github.com/solid,organizations,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,w3c,https://github.com/w3c,organizations,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,openid,https://github.com/openid,organizations,OpenID Foundation Working Groups.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,trustoverip,https://github.com/trustoverip,organizations,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,42,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-11-23 08:57:53.000000,2023-11-21 17:04:38,2639.0,210.0,2420.0,97.0,2091.0,244.0,3484.0,19881.0,2023-11-10 18:09:32,next-auth@4.24.5,100.0,161279.0,161279.0,599.0,https://www.npmjs.com/package/next-auth,2800327.0,2800327.0,1.0,,,,,,,,,,,,,,,,,
7,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-11-21 22:41:10.000000,2023-11-13 19:09:16,3796.0,63.0,1884.0,237.0,4067.0,91.0,2113.0,11402.0,2023-08-15 20:00:30,1.11.1,67.0,5665.0,5665.0,374.0,,,2834775.0,1.0,coredns/coredns,6869401.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,145.0,253450778.0,,,,,,,,,,,
8,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-11-23 15:00:36.000000,2023-11-21 16:28:25,4880.0,137.0,1181.0,126.0,3987.0,318.0,2104.0,8701.0,2023-10-26 22:37:54,0.58.0,100.0,3102.0,3102.0,429.0,,,4925782.0,1.0,openpolicyagent/opa,4594423.0,https://hub.docker.com/r/openpolicyagent/opa,2023-11-21 23:26:55.004870,39.0,459391178.0,,,,,,,,,,,
9,oauthlib,https://github.com/oauthlib/oauthlib,authentication,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",,,40,True,oauthlib/oauthlib,,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-11-20 18:36:48.000000,2023-10-25 05:42:36,1677.0,11.0,459.0,69.0,493.0,77.0,293.0,2673.0,2023-01-10 13:13:43,3.2.2,48.0,464405.0,464405.0,195.0,,,86433864.0,1.0,,,,,,,oauthlib,https://pypi.org/project/oauthlib,86433864.0,,,,,,,,
