,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,new_addition,gem_url,updated_github_id,apt_id
0,weboftrust,https://github.com/WebOfTrust,organizations,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,identity-foundation,https://identity.foundation/,organizations,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,solidproject,https://github.com/solid,organizations,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,w3c,https://github.com/w3c,organizations,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,openid,https://github.com/openid,organizations,OpenID Foundation Working Groups.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,trustoverip,https://github.com/trustoverip,organizations,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,41,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-11-30 13:56:34.000000,2023-11-30 13:56:33,2659.0,221.0,2431.0,94.0,2108.0,248.0,3497.0,20012.0,100.0,164105.0,164105.0,600.0,https://www.npmjs.com/package/next-auth,2741828.0,2741828.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,
7,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-11-29 11:59:55.000000,2023-11-13 19:09:16,3796.0,59.0,1883.0,237.0,4071.0,94.0,2113.0,11417.0,67.0,5674.0,5674.0,374.0,,,2842143.0,1.0,,coredns/coredns,2023-08-15 20:00:30,1.11.1,6885576.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,145.0,254111320.0,,,,,,,,,,,
8,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-11-30 17:48:16.000000,2023-11-30 16:45:06,4897.0,139.0,1184.0,125.0,3999.0,316.0,2112.0,8723.0,100.0,3118.0,3118.0,432.0,,,4954532.0,1.0,,openpolicyagent/opa,2023-11-30 15:49:02,0.59.0,4658551.0,https://hub.docker.com/r/openpolicyagent/opa,2023-11-30 17:22:23.148214,39.0,462002925.0,,,,,,,,,,,
9,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],39,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-11-29 23:40:00.000000,2023-11-29 14:12:49,8165.0,143.0,1896.0,147.0,3143.0,168.0,2988.0,10913.0,100.0,698.0,698.0,419.0,,,1693129.0,1.0,,,2023-10-30 12:58:49,1.13.2,64338913.0,,,,,,,,,,,,,,,
