,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,new_addition,helm_id,maven_id,maven_url,brew_id,trending,updated_github_id,gem_url,apt_id
0,weboftrust,https://github.com/WebOfTrust,organizations,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,identity-foundation,https://identity.foundation/,organizations,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,solidproject,https://github.com/solid,organizations,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,w3c,https://github.com/w3c,organizations,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,openid,https://github.com/openid,organizations,OpenID Foundation Working Groups.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,trustoverip,https://github.com/trustoverip,organizations,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,41,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-12-14 04:38:07.000000,2023-12-14 04:38:01,2683.0,231.0,2465.0,95.0,2131.0,252.0,3520.0,20205.0,100.0,170044.0,170044.0,605.0,https://www.npmjs.com/package/next-auth,3008234.0,3008234.0,1.0,,,,,,,,,,,,,,,,,,,,
7,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-12-12 15:06:39.000000,2023-12-12 15:06:38,3811.0,60.0,1891.0,237.0,4081.0,94.0,2118.0,11485.0,67.0,5695.0,5695.0,374.0,,,2826650.0,1.0,coredns/coredns,2023-08-15 20:00:30,1.11.1,6921617.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,145.0,255479587.0,,,,,,,,,,,,
8,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-12-14 17:40:58.000000,2023-12-14 16:31:47,4918.0,146.0,1190.0,125.0,4023.0,318.0,2119.0,8752.0,100.0,3163.0,3163.0,433.0,,,4988256.0,1.0,openpolicyagent/opa,2023-11-30 15:49:02,0.59.0,4823436.0,https://hub.docker.com/r/openpolicyagent/opa,2023-12-13 13:57:14.882689,39.0,469967817.0,,,,,,,,,,,,
9,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],39,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-12-14 16:02:39.000000,2023-12-14 16:02:38,8199.0,165.0,1898.0,148.0,3163.0,172.0,2997.0,10952.0,100.0,714.0,714.0,421.0,,,1714876.0,1.0,,2023-12-12 16:08:13,1.12.7,65165303.0,,,,,,,,,,,,,,,,
