,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,trending,helm_id,maven_id,maven_url,brew_id,updated_github_id,gem_url,apt_id
0,weboftrust,https://github.com/WebOfTrust,organizations,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,identity-foundation,https://identity.foundation/,organizations,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,solidproject,https://github.com/solid,organizations,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,w3c,https://github.com/w3c,organizations,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,openid,https://github.com/openid,organizations,OpenID Foundation Working Groups.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,trustoverip,https://github.com/trustoverip,organizations,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,41,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2024-01-11 17:42:44.000000,2024-01-11 17:09:56,2736.0,210.0,2540.0,99.0,2187.0,272.0,3569.0,20674.0,100.0,181686.0,181686.0,626.0,https://www.npmjs.com/package/next-auth,2385260.0,2385260.0,1.0,,,,,,,,,,,,,,,,,,,
7,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-01-11 14:17:24.000000,2024-01-09 17:38:17,3820.0,66.0,1902.0,239.0,4096.0,97.0,2118.0,11582.0,67.0,5743.0,5743.0,375.0,,,2825542.0,1.0,coredns/coredns,2023-08-15 20:00:30,1.11.1,6986073.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,145.0,258138651.0,,,,,,,,,,,
8,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],40,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2024-01-11 17:52:51.000000,2024-01-11 17:52:51,8368.0,283.0,1906.0,148.0,3212.0,176.0,3017.0,11045.0,100.0,737.0,737.0,429.0,,,1758592.0,1.0,,2023-12-12 16:08:13,1.12.7,68585095.0,,,,,,,,,,,,,,,
9,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-01-11 17:46:53.000000,2024-01-11 13:42:43,4943.0,133.0,1198.0,124.0,4051.0,321.0,2129.0,8834.0,100.0,3229.0,3229.0,435.0,,,5076305.0,1.0,openpolicyagent/opa,2023-12-21 10:41:47,0.60.0,5062433.0,https://hub.docker.com/r/openpolicyagent/opa,2024-01-11 14:19:04.440392,41.0,483136495.0,,,,,,,,,,,
