,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,updated_github_id,gem_url,apt_id,github-id
0,weboftrust,https://github.com/WebOfTrust,organizations,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,identity-foundation,https://identity.foundation/,organizations,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,solidproject,https://github.com/solid,organizations,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,w3c,https://github.com/w3c,organizations,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,openid,https://github.com/openid,organizations,OpenID Foundation Working Groups.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,trustoverip,https://github.com/trustoverip,organizations,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,41,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2024-01-25 16:44:55.000000,2024-01-25 16:44:55,2795.0,238.0,2588.0,100.0,2252.0,212.0,3663.0,20934.0,100.0,188172.0,188172.0,637.0,https://www.npmjs.com/package/next-auth,2632278.0,2632278.0,1.0,,,,,,,,,,,,,,,,,,,
7,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",41,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-01-22 16:24:11.000000,2024-01-09 17:38:17,3820.0,56.0,1909.0,237.0,4109.0,97.0,2118.0,11636.0,67.0,5775.0,5775.0,375.0,,,2838737.0,1.0,coredns/coredns,2023-08-15 20:00:30,1.11.1,7021738.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,147.0,259340841.0,,,,,,,,,,,
8,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],40,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2024-01-25 11:57:20.000000,2024-01-25 11:57:20,8405.0,288.0,1913.0,147.0,3231.0,179.0,3026.0,11085.0,100.0,772.0,772.0,429.0,,,1823445.0,1.0,,2023-12-12 16:08:13,1.12.7,69290921.0,,,,,,,,,,,,,,,
9,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-01-25 17:29:54.278273,2024-01-25 16:52:17,4964.0,125.0,1202.0,123.0,4071.0,320.0,2137.0,8884.0,100.0,3297.0,3297.0,437.0,,,5148220.0,1.0,openpolicyagent/opa,2024-01-25 13:34:39,0.61.0,5230128.0,https://hub.docker.com/r/openpolicyagent/opa,2024-01-25 17:29:54.278273,41.0,489805301.0,,,,,,,,,,,
