,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,updated_github_id,maven_id,maven_url,helm_id,gem_url,brew_id,apt_id,github,github-id
0,weboftrust,https://github.com/WebOfTrust,groups,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ietf,https://github.com/ietf,groups,Internet Engineering Task Force.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,identity-foundation,https://identity.foundation/,groups,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,solidproject,https://github.com/solid,groups,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,w3c,https://github.com/w3c,groups,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,openid,https://github.com/openid,groups,The OpenID Foundation.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,trustoverip,https://github.com/trustoverip,groups,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,openwallet-foundation,https://github.com/openwallet-foundation,groups,OpenWallet Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,kantara,https://github.com/KantaraInitiative,groups,Kantara Initiative.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,fido alliance,https://github.com/fido-alliance,groups,FIDO Alliance.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,mosip,https://github.com/mosip,groups,Modular Open Source Identity Platform.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,42,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2025-10-08 17:01:55.000000,2025-10-08 17:01:15,3929.0,15.0,3931.0,111.0,3295.0,383.0,4651.0,27624.0,2025-10-08 17:01:54,@auth/azure-tables-adapter@1.11.0,100.0,474493.0,474493.0,895.0,https://www.npmjs.com/package/next-auth,8447300.0,8447300.0,1.0,1.0,,,,,,,,,,,,,,,,,,
