,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,updated_github_id,pypi_url,pypi_monthly_downloads,trending,maven_id,maven_url,helm_id,brew_id,gem_url,apt_id,github,github-id
0,weboftrust,https://github.com/WebOfTrust,groups,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ietf,https://github.com/ietf,groups,Internet Engineering Task Force.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,identity-foundation,https://identity.foundation/,groups,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,solidproject,https://github.com/solid,groups,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,w3c,https://github.com/w3c,groups,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,openid,https://github.com/openid,groups,The OpenID Foundation.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,trustoverip,https://github.com/trustoverip,groups,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,openwallet-foundation,https://github.com/openwallet-foundation,groups,OpenWallet Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,kantara,https://github.com/KantaraInitiative,groups,Kantara Initiative.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,fido alliance,https://github.com/fido-alliance,groups,FIDO Alliance.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,mosip,https://github.com/mosip,groups,Modular Open Source Identity Platform.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,41,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2025-12-12 15:35:36.000000,2025-12-03 23:35:13,3939.0,4.0,3977.0,110.0,3320.0,387.0,4673.0,28005.0,2025-10-26 02:41:51,@auth/azure-tables-adapter@1.11.1,100.0,477451.0,477451.0,898.0,https://www.npmjs.com/package/next-auth,7933123.0,7933123.0,1.0,,,,,,,,,,,,,,,,,,,
12,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2026-01-22 16:59:40.000000,2026-01-22 16:58:58,10439.0,344.0,2244.0,147.0,4441.0,146.0,3539.0,13501.0,2025-12-09 16:03:17,1.19.2,100.0,2339.0,2339.0,539.0,,,2699673.0,1.0,105287258.0,,,,,,,,,,,,,,,,,,
