,name,homepage,category,description,resource,labels,projectrank,show,github_id,dockerhub_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,pypi_id,pypi_url,pypi_monthly_downloads,trending,updated_github_id,helm_id,maven_id,maven_url,brew_id,gem_url,apt_id,github,github-id
0,weboftrust,https://github.com/WebOfTrust,groups,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ietf,https://github.com/ietf,groups,Internet Engineering Task Force.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,identity-foundation,https://identity.foundation/,groups,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,solidproject,https://github.com/solid,groups,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,w3c,https://github.com/w3c,groups,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,openid,https://github.com/openid,groups,The OpenID Foundation.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,trustoverip,https://github.com/trustoverip,groups,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,openwallet-foundation,https://github.com/openwallet-foundation,groups,OpenWallet Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,kantara,https://github.com/KantaraInitiative,groups,Kantara Initiative.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,fido alliance,https://github.com/fido-alliance,groups,FIDO Alliance.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,mosip,https://github.com/mosip,groups,Modular Open Source Identity Platform.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",42,True,open-policy-agent/opa,openpolicyagent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2026-04-30 19:15:23.000000,2026-04-30 18:45:46,6368.0,220.0,1541.0,130.0,5610.0,344.0,2592.0,11713.0,2026-04-30 14:54:12,1.16.0,21369386.0,5332702.0,100.0,6751.0,6751.0,573.0,https://hub.docker.com/r/openpolicyagent/opa,2026-04-30 15:15:23.916010,47.0,614767374.0,1.0,,,,,,,,,,,,,,,,
