,name,homepage,category,description,resource,labels,projectrank,show,github_id,pypi_id,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,dockerhub_url,updated_at,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,license,maven_id,maven_url,trending,gem_url,helm_id,brew_id,github,apt_id,github-id
0,weboftrust,https://github.com/WebOfTrust,groups,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ietf,https://github.com/ietf,groups,Internet Engineering Task Force.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,identity-foundation,https://identity.foundation/,groups,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,solidproject,https://github.com/solid,groups,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,w3c,https://github.com/w3c,groups,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,openid,https://github.com/openid,groups,The OpenID Foundation.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,trustoverip,https://github.com/trustoverip,groups,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,openwallet-foundation,https://github.com/openwallet-foundation,groups,OpenWallet Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,kantara,https://github.com/KantaraInitiative,groups,Kantara Initiative.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,fido alliance,https://github.com/fido-alliance,groups,FIDO Alliance.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,mosip,https://github.com/mosip,groups,Modular Open Source Identity Platform.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,oauthlib,{},authentication,,,,20,False,oauthlib/oauthlib,oauthlib,653663.0,653663.0,205.0,https://pypi.org/project/oauthlib,328316287.0,328316287.0,1.0,,,,,,,,,,,,,,,,,,,,
12,nextauthjs,{},authentication,,,,18,False,nextauthjs/next-auth,,484496.0,484496.0,905.0,,,23287677.0,1.0,next-auth,https://www.npmjs.com/package/next-auth,23287677.0,,,,,,,,,,,,,,,,,
13,passport,{},authentication,,,,18,False,jaredhanson/passport,,1325023.0,1325023.0,38.0,,,31802825.0,1.0,passport,https://www.npmjs.com/package/passport,31802825.0,,,,,,,,,,,,,,,,,
14,casl,{},authorization,,,,16,False,stalniy/casl,,102596.0,102596.0,78.0,,,6845475.0,1.0,@casl/ability,https://www.npmjs.com/package/@casl/ability,6845475.0,,,,,,,,,,,,,,,,,
15,pysaml2,{},authentication,,,,13,False,IdentityPython/pysaml2,pysaml2,2304.0,2304.0,181.0,https://pypi.org/project/pysaml2,2611171.0,2611171.0,2.0,,,,,,,,,,,,,,,,,,,,
16,node-oidc-provider,{},authentication,,,,12,False,panva/node-oidc-provider,,2287.0,2287.0,76.0,,,2354401.0,2.0,oidc-provider,https://www.npmjs.com/package/oidc-provider,2354401.0,,,,,,,,,,,,,,,,,
17,did-jwt,{},dids,,,['dif'],12,False,decentralized-identity/did-jwt,,6275.0,6275.0,42.0,,,353382.0,1.0,did-jwt,https://www.npmjs.com/package/did-jwt,353382.0,,,,,,,,,,,,,,,,,
